# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: heuristic
white_heuristic: edge
white_seed: 40028
black_player: heuristic
black_heuristic: center
black_seed: 40029
iterations: 0
max_moves: 200
winner: white
total_moves: 157
white_avg_nodes: 0.0
black_avg_nodes: 0.0
moves:
6,5 5,6
3,2 4,3
6,7 5,8
4,3 5,4
6,3 4,5
3,6 5,4
6,1 5,0
2,7 3,6
5,8 4,9
3,0 4,1
4,9 2,7 4,5 6,3
4,1 5,2
6,3 4,1
1,8 2,7
7,4 6,3
0,9 1,8
6,3 5,2
2,1 3,2
4,1 3,0
1,0 2,1
5,2 4,1
2,7 3,6
7,2 6,1
3,2 4,3
7,6 6,7
1,8 2,7
8,5 7,6
2,1 3,2
6,7 5,8
4,3 5,4
7,6 6,7
3,2 4,3
8,3 7,2
2,9 3,8
9,4 8,3
3,6 4,5
5,8 4,9
3,8 4,7
5,6 3,8
2,7 3,6
3,8 2,9
5,4 6,5
6,7 5,8
4,3 5,4
3,0 2,1
1,2 3,0 5,2
6,1 4,3
3,4 5,2
7,2 6,1
2,3 3,4
6,1 4,3
3,4 5,2
8,3 7,2
5,2 6,3
7,2 6,1
0,1 1,2
7,8 6,7
1,2 2,3
8,7 7,8
2,3 3,4
9,6 8,7
6,3 7,4
5,8 4,7
3,6 5,8 7,6
9,2 8,3
7,4 9,2
7,8 6,7
7,6 5,8
6,9 4,7
9,2 7,4
4,7 3,8
1,4 2,3
8,7 7,8
0,3 1,4
7,8 6,9
3,4 4,3
9,8 8,7
2,3 3,4
8,7 7,8
0,7 1,8
2,9 0,7
4,5 5,6
3,8 2,9
3,4 4,5
0,7 1,8
2,5 3,4
1,8 0,9
1,6 2,5
8,1 7,2
2,5 3,6
6,1 5,2
4,3 6,1 8,3
7,0 6,1
8,3 9,4
9,0 8,1
1,4 2,5
8,1 7,0
0,5 1,4
7,8 6,7
5,6 7,8
8,9 6,7
9,4 5,8
6,9 4,7
3,6 5,8
4,9 6,7
7,4 8,5
6,7 5,8
8,5 4,9
2,9 1,8
4,9 9,4
1,8 0,7
6,5 7,4
0,7 2,9
7,4 8,5
5,0 4,1
9,4 5,0 2,3
7,0 6,1
8,5 9,4
6,1 5,0
5,4 6,5
0,9 5,4 9,8
3,4 4,5
9,8 8,9
4,5 5,4
8,9 0,1
5,4 6,5
2,9 9,2
2,5 3,4
0,1 8,9
1,4 2,5
9,2 7,0
2,5 3,4
8,9 0,1
9,4 8,5
0,1 1,0
8,5 7,4
5,0 4,1
7,4 3,0
1,0 9,8
3,0 8,5
9,8 1,0
8,5 9,4
7,0 6,1
9,4 5,0
1,0 0,1
5,0 0,5
0,1 8,9
0,5 1,4
8,9 9,8
1,4 0,5
9,8 8,9
0,5 1,4
8,9 7,8
1,4 2,5
7,8 8,9
2,5 3,4
8,9 0,1
