# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: uct
white_heuristic: base
white_seed: 40028
black_player: heuristic
black_heuristic: base
black_seed: 40029
iterations: 2000
max_moves: 200
winner: black
total_moves: 62
white_avg_nodes: 2011.3
black_avg_nodes: 0.0
moves:
6,1 5,0
3,6 4,5
7,2 6,1
4,5 5,6
6,5 4,7
3,8 5,6
8,3 7,2
2,7 3,8
6,1 5,2
3,2 4,3
9,4 8,3
4,3 6,1
7,4 6,5
5,6 7,4 5,2
8,3 7,4
6,1 8,3 6,5
7,0 6,1
5,2 7,0
6,7 5,8
1,8 2,7
5,8 4,9
2,1 3,2
7,6 5,4
2,7 3,6
5,4 4,5
3,6 5,4
8,1 7,2
0,9 1,8
8,7 7,6
3,8 4,7
8,5 7,4
3,2 4,3
7,6 6,5
5,4 7,6
7,2 6,1
7,0 5,2
9,8 8,7
7,6 9,8
7,4 6,5
9,8 5,4
9,2 8,3
2,5 3,6
9,6 8,5
5,2 6,3
7,8 6,7
6,3 7,2
5,0 4,1
7,2 9,4 7,6 5,8
4,1 3,2
2,3 4,1
8,9 7,8
3,6 4,5
7,8 6,7
5,8 7,6
4,9 3,8
4,1 5,0
3,8 2,7
1,6 3,8
6,9 5,8
4,7 6,9
9,0 8,1
5,4 9,0
