# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: uct
white_heuristic: base
white_seed: 0
black_player: heuristic
black_heuristic: base
black_seed: 1
iterations: 5000
max_moves: 200
winner: black
total_moves: 82
white_avg_nodes: 4994.7
black_avg_nodes: 0.0
moves:
6,1 5,0
3,2 4,3
6,3 5,4
2,3 3,2
7,2 6,1
3,4 4,5
6,9 5,8
4,5 6,3
6,5 5,6
3,8 4,7
8,3 7,2
4,7 6,5 8,3
9,2 7,4 5,2 3,4
2,5 4,3
5,8 4,9
4,3 5,2
6,7 5,8
3,0 4,1
7,6 6,7
1,6 2,5
8,5 7,4
0,7 1,6
9,4 8,3
3,6 4,5
7,8 6,9
2,1 3,0
7,4 6,3
5,2 7,4 9,2
5,8 4,7
9,2 3,8
6,7 5,8
4,5 5,4
8,7 7,8
1,0 2,1
9,6 8,5
4,1 5,2
9,8 8,7
2,5 3,6
8,7 7,6
5,4 6,3
7,6 6,7
1,4 2,5
8,5 7,4
6,3 8,5
5,8 4,7
3,6 5,8 7,6
7,8 6,7
7,6 5,8
4,9 6,7
8,5 9,4
6,7 5,8
9,4 4,9
7,2 6,3
5,2 7,4
6,1 5,2
2,7 3,6
8,9 7,8
3,6 4,5
5,2 4,1
3,0 5,2
7,8 6,7
4,9 8,5
6,9 5,8
8,5 4,9
8,1 7,2
7,4 8,5
7,2 6,1
8,5 9,4
6,1 4,3
3,2 5,4
5,0 4,1
2,1 3,2
4,1 2,3
1,2 3,4
7,0 6,1
9,4 5,0
9,0 8,1
0,3 1,4
8,1 7,0
1,6 2,7
7,0 6,1
5,0 8,3
