# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: uct
white_heuristic: base
white_seed: 20014
black_player: heuristic
black_heuristic: base
black_seed: 20015
iterations: 1000
max_moves: 200
winner: black
total_moves: 80
white_avg_nodes: 1013.2
black_avg_nodes: 0.0
moves:
6,5 5,6
3,6 4,5
6,7 5,8
4,5 6,7 4,9
7,6 6,7
2,5 3,6
8,7 7,6
1,4 2,5
9,6 8,7
0,3 1,4
7,6 6,5
4,9 5,8
8,7 7,6
3,8 4,9
6,3 5,2
2,7 3,8
7,4 6,3
3,6 4,7
6,5 5,4
3,4 4,5
5,4 3,6
3,0 4,1
6,7 5,6
4,7 6,5 8,7
9,8 7,6
2,5 4,7
7,6 6,7
5,8 7,6
8,5 6,7
4,7 5,8
8,3 7,4
5,8 7,6
9,4 8,3
7,6 8,5
7,4 9,6
1,4 2,5
6,3 5,4
4,1 6,3 4,5
6,1 5,2
1,6 2,7
5,2 4,1
3,2 5,0
9,6 8,7
4,5 5,4
7,2 6,1
5,0 7,2 9,4
7,8 6,7
9,4 5,8
6,9 4,7
3,8 5,6
8,9 7,8
5,4 6,5
9,2 8,3
0,5 1,4
8,3 7,2
2,1 3,2
7,2 6,1
2,3 3,4
8,7 7,6
6,5 8,7 6,9
6,1 5,2
5,6 6,5
7,0 6,1
6,9 7,8
8,1 7,2
6,5 7,4
6,1 5,0
1,2 2,3
7,2 6,1
0,7 1,6
5,2 4,1
7,4 8,5
9,0 8,1
8,5 9,6
8,1 7,2
9,6 3,0
7,2 6,3
3,0 9,6
5,0 4,1
3,2 5,0 7,2
