# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: uct
white_heuristic: base
white_seed: 40028
black_player: heuristic
black_heuristic: base
black_seed: 40029
iterations: 1000
max_moves: 200
winner: black
total_moves: 76
white_avg_nodes: 1013.9
black_avg_nodes: 0.0
moves:
6,1 5,0
3,6 4,5
5,0 4,1
3,0 5,2
6,5 5,6
2,7 3,6
7,4 6,5
5,2 7,4
8,5 6,3
3,8 4,7
6,7 5,8
4,5 6,7 8,5
5,8 4,9
3,4 4,5
9,6 7,4
2,1 3,0
6,9 5,8
4,7 6,9
9,4 8,5
1,6 2,7
8,5 7,6
3,2 4,1
7,6 6,7
2,3 3,2
6,7 5,6
4,5 6,7
7,2 6,1
6,7 7,6
8,3 7,2
7,6 5,4
9,2 8,3
3,6 4,5
6,3 5,2
4,1 6,3 8,5
6,1 5,2
8,5 9,4
4,9 3,8
2,9 4,7
5,2 4,1
3,2 5,0
7,2 6,1
5,0 7,2
8,3 7,4
4,7 5,8
7,8 6,7
5,8 7,6
7,0 6,1
7,2 5,0
7,4 6,3
5,4 7,2
8,9 7,8
2,5 3,6
8,1 7,0
2,7 3,8
7,0 6,1
1,0 2,1
9,8 8,9
7,6 9,8
6,1 8,3
6,9 8,7
8,9 7,8
8,7 6,9
8,3 7,4
5,0 6,1
9,0 8,1
3,8 4,7
7,4 6,3
4,7 5,8
8,1 7,0
0,7 1,6
7,0 5,2
3,6 4,7
5,2 4,3
9,8 3,2
6,3 5,4
3,2 8,7
