# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: uct
white_heuristic: base
white_seed: 10007
black_player: heuristic
black_heuristic: base
black_seed: 10008
iterations: 1000
max_moves: 200
winner: black
total_moves: 72
white_avg_nodes: 1012.1
black_avg_nodes: 0.0
moves:
6,7 5,8
3,2 4,3
5,8 4,7
3,8 5,6
6,9 5,8
3,6 4,7
6,3 5,4
4,7 6,9
5,4 4,5
2,9 3,8
4,5 6,7
2,7 3,6
6,5 5,4
4,3 6,5
6,7 5,8
6,9 4,7
7,4 5,6
4,7 6,5
6,1 5,0
3,8 4,7
7,8 6,9
4,7 5,8
7,6 6,7
5,8 7,6
8,3 7,4
6,5 8,3 6,1
8,7 6,5
3,6 4,7
9,6 8,7
1,8 2,7
9,4 8,3
3,0 4,1
8,9 7,8
2,3 3,2
9,8 8,9
1,2 2,3
7,0 5,2 3,0 1,2
0,3 2,1
8,3 7,2
0,1 1,2
9,2 8,3
2,7 3,8
6,5 5,6
4,7 6,5
8,3 7,4
6,5 8,3 6,1
8,5 7,6
0,7 1,8
7,6 6,7
6,1 7,0
8,1 7,2
2,5 3,6
9,0 8,1
7,0 9,2
7,2 6,1
3,4 4,3
6,9 5,8
2,3 3,4
6,7 5,6
9,2 4,7 6,9
8,7 7,6
6,9 8,7 6,5
5,0 4,1
3,2 5,0 7,2
8,9 7,8
4,3 5,4
7,8 6,9
1,8 2,7
6,9 5,8
3,6 4,5
5,8 4,7
3,8 5,6
