# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: uct
white_heuristic: base
white_seed: 0
black_player: heuristic
black_heuristic: base
black_seed: 1
iterations: 500
max_moves: 200
winner: black
total_moves: 72
white_avg_nodes: 513.9
black_avg_nodes: 0.0
moves:
6,7 5,6
3,2 4,3
7,6 6,7
4,3 5,4
8,7 7,6
2,3 3,2
9,8 8,7
3,2 4,3
6,3 4,5 2,3
1,2 3,4
7,4 6,3
3,6 4,7
8,5 7,4
4,3 5,4
6,9 5,8
4,7 6,9
9,6 8,5
3,8 4,9
6,7 5,8
4,9 6,7 4,5
7,8 6,7
2,1 3,2
8,7 7,8
6,9 8,7
6,3 5,2
8,7 9,8
6,7 5,8
0,1 1,2
8,9 7,8
3,2 4,3
7,8 6,9
2,9 3,8
6,1 5,0
4,3 6,1
7,6 6,7
5,4 7,6
5,8 4,9
7,6 5,8
6,9 4,7 2,9
1,4 2,3
7,4 6,5
9,8 5,4
8,5 7,6
5,4 9,8
4,9 3,8
2,7 4,9
9,4 8,5
0,3 1,4
8,5 7,6
9,8 6,5
8,3 7,4
6,1 8,3
7,0 6,1
8,3 9,4
9,2 8,3
9,4 7,2
8,1 7,0
6,5 9,2
9,0 8,1
7,2 9,0
6,1 5,2
4,5 5,4
5,2 4,1
3,0 5,2
7,0 6,1
5,2 7,0
5,0 4,1
3,4 4,5
4,1 3,0
4,5 5,6
3,0 2,1
1,0 3,2
